period,corporate_profits_billion_usd_saar,gdi_billion_usd_saar,corporate_profits_gdi_pct,corporate_profits_yoy_pct,gdi_yoy_pct
1947-Q1,21.455,240.092,8.936158,,
1947-Q2,24.483,243.209,10.06665,,
1947-Q3,24.592,247.579,9.932991,,
1947-Q4,26.127,256.122,10.200998,,
1948-Q1,29.979,265.07,11.309843,39.729667,10.403512
1948-Q2,31.757,273.654,11.6048,29.710411,12.51804
1948-Q3,31.17,278.941,11.174406,26.748536,12.667472
1948-Q4,32.665,281.223,11.615337,25.023922,9.800408
1949-Q1,31.004,274.18,11.3079,3.41906,3.436828
1949-Q2,28.664,270.661,10.59037,-9.739585,-1.093717
1949-Q3,29.923,270.863,11.047282,-4.000642,-2.895953
1949-Q4,26.64,267.232,9.968866,-18.444819,-4.975055
1950-Q1,30.056,277.506,10.830757,-3.05767,1.213072
1950-Q2,33.889,289.932,11.688603,18.22844,7.119977
1950-Q3,38.441,307.524,12.500163,28.466397,13.534887
1950-Q4,41.848,319.297,13.106293,57.087087,19.483071
1951-Q1,40.716,332.534,12.244161,35.467128,19.829481
1951-Q2,40.568,340.649,11.909032,19.70846,17.492722
1951-Q3,41.117,346.823,11.855327,6.961317,12.779165
1951-Q4,42.39,353.871,11.978941,1.295163,10.828163
1952-Q1,40.026,356.053,11.241585,-1.694665,7.07266
1952-Q2,38.129,358.604,10.63262,-6.012128,5.270821
1952-Q3,38.072,365.999,10.402214,-7.405696,5.529045
1952-Q4,42.432,378.271,11.217355,0.09908,6.895168
1953-Q1,43.34,385.073,11.255009,8.279618,8.150472
1953-Q2,42.509,388.515,10.941405,11.487319,8.340955
1953-Q3,41.31,387.598,10.65795,8.504938,5.901382
1953-Q4,34.017,380.524,8.939515,-19.831731,0.595605
1954-Q1,36.508,382.558,9.543128,-15.763729,-0.653123
1954-Q2,37.847,383.6,9.866267,-10.967089,-1.265073
1954-Q3,39.895,387.551,10.294129,-3.425321,-0.012126
1954-Q4,43.589,396.846,10.983858,28.138872,4.289348
1955-Q1,48.804,409.644,11.913759,33.680289,7.080234
1955-Q2,50.107,419.737,11.937713,32.393585,9.42049
1955-Q3,50.177,428.228,11.717356,25.772653,10.495909
1955-Q4,51.582,435.768,11.837033,18.337195,9.807835
1956-Q1,49.42,440.533,11.218229,1.262192,7.54045
1956-Q2,49.642,447.678,11.088774,-0.928014,6.656787
1956-Q3,49.309,453.772,10.86647,-1.729876,5.965047
1956-Q4,50.214,463.554,10.832395,-2.652088,6.376329
1957-Q1,51.659,471.077,10.966148,4.530554,6.933419
1957-Q2,50.289,473.964,10.6103,1.303332,5.871631
1957-Q3,49.34,478.836,10.304154,0.062869,5.523479
1957-Q4,45.271,473.699,9.556913,-9.843868,2.188526
1958-Q1,39.466,468.148,8.43024,-23.602857,-0.621767
1958-Q2,40.608,470.909,8.623322,-19.250731,-0.644564
1958-Q3,44.759,484.819,9.232105,-9.284556,1.249488
1958-Q4,50.593,498.445,10.150167,11.75587,5.223992
1959-Q1,54.265,510.145,10.637172,37.4981,8.970881
1959-Q2,59.067,524.882,11.253386,45.45656,11.46145
1959-Q3,54.19,522.572,10.369863,21.070623,7.78703
1959-Q4,54.535,528.21,10.324492,7.791592,5.971572
