sector,period,hourly_compensation_qoq_annualized_pct,hourly_compensation_yoy_pct,labor_productivity_qoq_annualized_pct,labor_productivity_yoy_pct,labor_share_yoy_from_rounded_rates_pct,labor_share_yoy_log_approx_pct,unit_labor_costs_qoq_annualized_pct,unit_labor_costs_yoy_pct,unit_profits_qoq_annualized_pct,unit_profits_yoy_pct,value_added_output_price_qoq_annualized_pct,value_added_output_price_yoy_pct
nonfarm_business,2023-Q1,3.2,2.8,0.9,0.1,-2.654028,-2.8,2.2,2.7,,,3.7,5.5
nonfarm_business,2023-Q2,6.5,4.4,4.1,1.9,-0.871249,-0.9,2.4,2.4,,,1.7,3.3
nonfarm_business,2023-Q3,6.3,4.1,5.1,3.1,-1.941748,-2.0,1.2,1.0,,,3.1,3.0
nonfarm_business,2023-Q4,5.2,5.3,3.9,3.5,-0.682927,-0.7,1.2,1.8,,,1.3,2.5
nonfarm_business,2024-Q1,5.8,6.0,0.2,3.3,0.391389,0.4,5.5,2.6,,,2.7,2.2
nonfarm_business,2024-Q2,4.8,5.5,3.7,3.2,-0.097752,-0.1,1.1,2.2,,,2.2,2.3
nonfarm_business,2024-Q3,4.8,5.2,3.7,2.9,0.392927,0.4,1.1,2.2,,,0.9,1.8
nonfarm_business,2024-Q4,4.4,4.9,1.4,2.3,0.686948,0.7,2.9,2.6,,,1.7,1.9
nonfarm_business,2025-Q1,6.3,5.1,-0.9,2.0,0.980392,1.0,7.3,3.0,,,3.2,2.0
nonfarm_business,2025-Q2,1.2,4.1,4.2,2.1,0.098135,0.1,-2.9,2.0,,,1.8,1.9
nonfarm_business,2025-Q3,6.2,4.5,5.2,2.5,-0.681597,-0.7,1.0,2.0,,,4.1,2.7
nonfarm_business,2025-Q4,3.7,4.3,1.6,2.5,-1.260912,-1.3,2.1,1.8,,,3.3,3.1
nonfarm_business,2026-Q1,2.1,3.3,0.8,2.9,-3.088803,-3.2,1.3,0.4,,,5.1,3.6
nonfarm_business,2026-Q2,2.7,3.7,1.4,2.2,-3.336511,-3.5,1.3,1.4,,,7.0,4.9
nonfinancial_corporations,2023-Q1,,,-1.6,-1.1,,,8.1,4.6,13.4,13.2,6.5,5.4
nonfinancial_corporations,2023-Q2,,,3.4,0.3,,,2.5,4.2,3.7,5.1,1.3,3.0
nonfinancial_corporations,2023-Q3,,,2.9,0.7,,,1.6,3.5,12.6,6.8,2.8,2.8
nonfinancial_corporations,2023-Q4,,,5.1,2.4,,,-1.3,2.7,14.8,11.0,1.4,3.0
nonfinancial_corporations,2024-Q1,,,3.1,3.6,,,8.7,2.8,-22.0,1.1,2.2,1.9
nonfinancial_corporations,2024-Q2,,,-0.8,2.5,,,2.2,2.7,15.1,3.8,3.9,2.6
nonfinancial_corporations,2024-Q3,,,2.0,2.3,,,-0.5,2.2,-1.0,0.5,0.4,2.0
nonfinancial_corporations,2024-Q4,,,5.4,2.4,,,1.2,2.8,1.2,-2.6,0.9,1.8
nonfinancial_corporations,2025-Q1,,,0.4,1.7,,,6.3,2.3,-5.1,2.3,3.9,2.2
nonfinancial_corporations,2025-Q2,,,4.9,3.2,,,-2.7,1.0,-3.6,-2.1,-0.3,1.2
nonfinancial_corporations,2025-Q3,,,4.5,3.8,,,1.2,1.4,6.6,-0.3,3.3,1.9
nonfinancial_corporations,2025-Q4,,,4.2,3.5,,,-0.1,1.1,6.7,1.0,2.7,2.4
nonfinancial_corporations,2026-Q1,,,1.4,3.7,,,0.7,-0.2,18.6,6.8,3.7,2.4
